,title,product_code,health,ingredients,weight,price,image
171,"The Great Green Rooibos Tea, Mini Tin Sampler Pack - 25g",SKU: ST54,"Packed with anti-oxidants, Aids weight loss, Promotes skin care, Improves digestion, Good for heart, Reduces hypertension, Anti-aging.","Organic Green Rooibos, Cinnamon, Kaffir Lime Leaf",25 gms | 25 Cups,Rs. 400 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC01978-01-01_1000x.jpg?v=1585733837
174,The Rooibos Moringa Chamomile Tea Blend                          200G,SKU: BLD108,"Controls hormonal imbalance, Mood swing, Aids digestion, Relieves stress, Fights depression, Menstrual spasms, Anti-aging, Improves heart health.","Organic Rooibos, Organic Moringa leaves, Dry Chamomile flower",200 gms | 200 cups,Rs.1300 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD108_2_1000x.jpg?v=1630316784
175,Midnight Minty Rooibos Tea Blend    200 G,SKU: BLD21,"Reduces hypertension, Premature aging, Improves cardio-vascular health, Good for hair, Reduces nausea, Cures muscle pain, Detoxifies the body, Boosts immune system, Aids weight loss.","Organic Rooibos, Peppermint, Ginger mint",200 gms | 200 cups,"Rs.1,560/ tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD21_2_1000x.jpg?v=1630315832
176,Three Mini Bring Joy To Your Gut Green Teas             3 x 25g,SKU: ST18,Improves Gut Health,"25g Chinese Cloudy Fragrance Loose Leaf Green Tea, 25g Indian Organic Smoky Loose Leaf Green Tea, 25g Chinese Simao Loose Leaf Green Tea",25g x 3 Teas,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT39_48_23_1000x.jpg?v=1580898875
177,The Great Green Rooibos Tea Blend 150G,SKU: BLD85,"Packed with anti-oxidants, Aids weight loss, Promotes skin care, Improves digestion, Good for heart, Reduces hypertension, Anti-aging.","Organic Green Rooibos, Cinnamon, Kaffir Lime Leaf",150 gms | 150 cups,"Rs.1,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD85_2_1000x.jpg?v=1630316644
178,Hakuna Matata Tea Blend,SKU: BLD15,"Relieves stress, Prevents cancer, Aids dental health, Weight loss, Good for bones, Good for eyes, Replenishes fever, Revents respiratory disorders, Is a natural stress buster.","Organic Darjeeling Black Tea, Yellow Chrysanthemum petals",50 gms = 50 cups,Rs.800 /tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD15_1000x.png?v=1573886994
179,"Circle of Life Blooming Tea, 10pcs",SKU: TBL11,"Tender green tea leaves and 7 Jasmine flowers are delicately hand woven with care, and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses.              Aids weight loss, Packed with anti-oxidants, Promotes relaxation, Good for heart, Relieves stress.",7 Jasmines in a circle,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_11_1000x.jpg?v=1615446444
180,The Sweet Green Rooibos Tea Blend  150 G,SKU: BLD40,"Aids weight loss, Reduces hypertension, Premature aging, Improves cardiovascular health, Eases anxiety, Boosts immunity, Helps control skin problems, Good for eyes.","Organic Green Rooibos, Yellow Chrysanthemum petals, Calendula petals, Blue Corn petals",150 gms | 150 cups,"Rs.1,700 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD40_2_1000x.jpg?v=1630316056
182,Boss Lady Style Gift Box                                                       2 x 50 G,SKU: WDAY05,"Calming, Gut healthy, Healthy skin glow","50g Organic Jasmine Tea, 50 g Organic Deccan Tea, 2 Mugs",Tea Care Package    50 g x 2 Teas,"Rs. 4,000 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/247_1000x.jpg?v=1645779511
184,Together Forever Gift Box                 300 G,SKU: VDAY08,"Aids weight loss, Promotes relaxation, Good for heart, relieves stress, packed with anti-oxidants.","200g Chinese Jasmine Tea - Argent Loose Leaf Tea,Â 100g Sri Lankan BM Ceylon Loose Leaf Black Tea,",300 gms | 300 cups,"Rs. 1,980 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box14_1_800x.jpg?v=1611738978
185,Precious Blue Gift Box                        50 G,SKU : GB26-A4,"Packed with anti-oxidants, Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure.","50 gms of Dooars Green Tea,1 300 ml Porcelain Mug",50 gms | 50 cups,"Rs. 1,950 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box_17_800x.jpg?v=1617896381
186,Immunitea Boosting Gift Box              5 x 15g,SKU : GB28-A9,"Relieves stress, Improves  brain functionality, Stimulates fat burning, Boosts energy, Enhances heart health & digestion, Boosts immunity.","15g Organic Matcha, 15g Organic Sencha, 15g Houjicha Green Tea, 15g  Spice It Up, 15g Secret Spice  Teas",15 gms | 35 cups,"Rs. 2,340 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box9-4_800x.jpg?v=1621927375
187,"Hey, Hot-Tea                                         3 x 15g",SKU: VDAY23,"Anti-oxidant, Removes toxins, Good for anti-ageing, Respiratory disorders, Boosts energy levels, Aids weight loss","15g Rose white peony, 15g White silver needle bud tea, 15g Organic Matcha Teas,  300ml Bone China mug",15 gms | 3cups,"Rs. 2,340 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC04011_800x.jpg?v=1642500543
188,Yoga Tea                                        3 x 15g,SKU : GB28-13,"Anti-oxidant, Relaxant, Cooling, Promotes weight loss, Anti-aging, Enhances mood, Skin protection, Controls cholesterol and diabetes, Aids stress relief.","15g Chanxin Jasmine Tea , 15g Organic Xueji Chanxin Bud Green Tea, 15gÂ White Lavender Paradise Tea Blend",15 gms | 35 cups,"Rs. 1,950 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC00118_800x.jpg?v=1655399530
189,25 days Fit Tea                            5 x 15g,SKU : GB28-A8,"Improves gut health, Stress reliever, Flushes toxins, Rehydrates the body, Relieves stress, Boosts  energy, Stimulates weight loss, Enhances cardiovascular health, Relaxes muscles
","15g Tie Guan Yin Oolong Tea Spring Tea, 15g Gong Fu Red Tea, 15g Matcha Spring, 15g Hong Qing Baked Green Tea, 15g Gyokuro Green Tea",15 gms | 35 cups,"Rs. 2,340 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box8-4_800x.jpg?v=1621928184
190,15 Days Detox Tea                        3 x 15g,SKU : GB28-A2,"Flushes  impurities and toxins, Enhances digestion, ceduces blood sugar, controls blood pressure, Stimulates weight loss, enhancing digestion, reduces blood sugar, controls blood pressure.l","15g Gold Bud Black Tea, 15g Xiuning Songlou Green Tea, 15gÂ Natural Moringa Cleanse",15 gms | 5 cups,"Rs. 1,560 /box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box_1_-3_800x.jpg?v=1621926464
