,title,health,ingredients,weight,price,image
47,Organic Jasmine White Tea ,"Packed with anti-oxidants, lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.",Whole leaves Jasmine Tea,75 gms | 75 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09886_1000x.jpg?v=1633932797
48,"Taste of Darjeeling  FTGFOP-1 First Flush- Or,loose leaf black tea tin,100G","Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs.2,049",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT19_A_-2_1000x.jpg?v=1623664368
49,"Goodnight Kiss Loose Leaf Tea Blend Tin, 200G","Prevents sleep disorders, Good for joints, Eases heart burn, Prevents sleep disorders, Relaxant.","Valerian Root, Star Anise, Licorice Root",200 gms | 100 cups,"Rs.1,649",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD71_1000x.jpg?v=1581404473
50,"Rosy Duet Tea Blend Pouch, 150g","Good for menopause, Promotes liver health, Carries anti-anxiety, Anti-aging properties, Improves memory, Helps fight cancer.","Bulgarian Red Rose petals, Rosemary leaves",150 gms | 102 cups,"Rs.1,449",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD39_1000x.jpg?v=1581149281
51,Jasmine Tea,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.",Whole leaves Jasmine Tea,100 gms | 100 cups,Rs.899,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09880_1000x.jpg?v=1633932611
52,"Japanese Matcha Spring - Argent Powder, Mini Tin Sampler Pack - 25g","High in anti-oxidants, Fights cancer, Calming, boosts memory, Burns calories, Detoxifies the body, Lowers cholesterol, Blood sugar.",Matcha Powder,25 gms,Rs.649,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Matcha_1_48a0b270-af2a-4302-8f35-6e5b03274d6b_1000x.jpg?v=1583214170
53,"Jiulongshan High Mountain, 200g","High in anti-oxidants, Aids weight loss, Relaxes the body, Boosts immune system, Relieves stress.","Whole leave green tea
Origin
China
Taste Notes
Vegetal and floral
Best Time
Daylight to Twilight",200 gms | 132 cups,"Rs.1,299",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/11_451772f2-d431-4cb7-8951-4443d28ef338_1000x.jpg?v=1615297800
54,"Dooars, 200g","Packed with anti-oxidants, Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure.",Whole leave green tea,200 gms | 200 cups,Rs.899,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT41_16072c49-df12-4b5f-b524-25c1ae2dbd03_1000x.jpg?v=1612432871
55,"Sri Lankan OP 1 Ceylon Loose Leaf Black Tea Tin, 150G","Good for cholesterol, Cardiovascular health, Stress relief, Boosts weight loss.",Whole leaves Black Tea,150 gms | 99 cups,"Rs.1,049",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT07_1000x.jpg?v=1581403156
56,"Organic Japanese Gyokuro Competition Grade, 50g","Prevents heart problems, Prevents premature aging, Diabetes, Digestive disorders, Aids weight loss.",Whole leave green tea,50 gms | 42 cups,"Rs.4,299",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/5_b27bcea8-036d-4fc6-930a-b7fc91e37392_1000x.jpg?v=1615297873
57,"Dragonwell, 125g","Rich in anti-oxidants, Aids weight loss,  Digestion,  Anti-aging,  Strengthens immune system,  Lowers cholesterol",Whole leave green tea,125 gms = 83 cups,"Rs.1,299",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT01_1000x.jpg?v=1612771529
58,Tea Temptations,,,Tea Care Packages,"Rs.1,857",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/17_c827033a-2f7a-4eed-8fbb-1a3fc7eb8e81_1000x.jpg?v=1581674597
59,"Three Mini Around The World Black Teas, 3x25g",,,25g x 3 Teas,Rs.747,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT01_08_25_A_1000x.jpg?v=1581499046
60,Bombay Spiced Chai,1. Rich in antioxidants 2. Good for joints 3. Promotes weight loss 4. Boosts immune system 5. Good for hair 6. Clears common cold,"Star Anise, Cloves, Cardamom, Cinnamon","Tea Tin, 100 gms = 100 Cups",Rs.699,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Bombayspicedtea_1000x.jpg?v=1609227854
61,"Infinity Pool Loose Leaf Tea Blend Tin, 150G","Reduces bad cholesterol, Good for blood pressure, Aids digestive system, Powers the immune system, Protects liver, Works as an anti-depressant, Aids weight loss, Promotes skin care.","Hibiscus, Orange Peel, Rosehip",150 gms | 75 cups,"Rs.1,449",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD57_1000x.jpg?v=1609227545
62,"Three Mini Around the World Oolong Teas, 3x25g",,,25g x 3 Teas,"Rs.1,047",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT01_06_11_1000x.jpg?v=1580902608
63,"Organic Smoky, 150g","Good for lungs, Clears chest congestion, Controls cholesterol levels, Promotes cardiovascular health, Packed with anti-oxidants.",Whole leave green tea,150 gms | 150 cups,Rs.999,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT39_7c523ca8-20dc-4423-a892-f97ea260deb5_1000x.jpg?v=1612432580
64,"Sri Lankan Organic Orange Pekoe Op 1 Ceylon Loose Leaf Black Tea Tin, 100G","Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 66 cups,Rs.999,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT09_1000x.jpg?v=1581416346
65,Vibrant As You,,,,"Rs.2,499",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box_18_1000x.jpg?v=1617893708
66,Symphony In Every Sip,,,Tea Care Packages,"Rs.2,557",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/15_a11a5964-da89-4447-8316-7d4c1045fa2c_1000x.jpg?v=1581681292
67,Nani’s Herbal Chai,1. Rich in antioxidants 2. Good for cough and cold 3. Good for joints 4. Good for nervous system 5. Prevents sleep disorders 6. Aids digestion 7. Boosts energy 8. Promotes detoxification 9. Weight loss.,"Black Ginger, Long Pepper, Clove, Star Anise, Lemongrass","Tea Tin, 100 gms = 76 Cups","Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Nani_sSpecial_1000x.jpg?v=1609228651
68,"Fujian Silver Needle Big Bud, 50g","Packed with anti-oxidants, Boosts immunity, Weight loss, Relaxation, Aids digestion.",Whole leaves White Tea,50 gms | 50 cups,"Rs.1,299",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT08_B_285f6603-8c23-4a5d-bff3-dcf086a01b4b_1000x.jpg?v=1618036933
69,"Blooming Love Blooming Tea, 10pcs","Take your tea-drinking experience a notch higher with this exotic blooming tea of delicate green tea leaves carefully tied with 1 Gomphrena Globosa and 2 Camellia flowers! Bright multi-petaled camelia is a long-blooming beauty that elevates your mood with its attractive appearance and deep scents. When infused with floral notes of Gomphrena Globosa, meaning everlasting bloom in Greek, it creates a brew that is synonymous to pure magic! Our Gomphrena Globosa and Camellia blooms are delicately hand woven with care, and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses. When the tea bloom is dropped in freshly boiled water, it “blooms” magically in your teapot or glass like a flower.Taste NotesSoothing amber tints round the cup with a mild floral sweetness.Multiple InfusionsDon't throw away your tea after steeping it! One of the greatest advantage of drinking whole leaf tea is that each serving of leaves can be re-steeped many times.This tea can be re-steeped 3 times. We recommend using 1 Piece of this whole leaf tea for 150ml of water10 Pcs= 30 Cups of teaWe recommend returning to any used tea leaves within the day.Good for immune system, Cardiovascular health, Digestion, Cholesterol control, Packed with anti-oxidants.",1 Gomphrena globosa +2 camellia,10 pcs | 30 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_17_1000x.jpg?v=1615446821
70,"Organic Pride of Darjeeling FTGFOP 2nd Flush Black loose leaf Tea Tin, 100G","Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health, Good for heart, Stress relief, Cholesterol control.",Whole leaves Black Tea,100 gms | 132 cups,"Rs.1,349",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT24_A_-2_1000x.jpg?v=1623664582
71,"Sri Lankan Orange Pekoe 1 Ceylon Spring Loose Laef Black Tea Tin, 150G","Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,150 gms | 99 cups,Rs.849,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT12_1000x.jpg?v=1581403303
72,"We're a matcha made in heaven, complete set",,,Matcha Set,"Rs.10,648",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Matcha_3_1000x.jpg?v=1583239065
