,title,health,ingredients,weight,price,image,,,,
37,Sweet Chamomile Escape                       50G,1. Helps fight anxiety 2. Depression 3. Cures insomnia 4. Aids skin disorders 5. Improves memory 6. Relieves stress 7. Boosts immunity 8. Good for eyes,"German Chamomile, Yellow Chrysanthemum petals, Blue Corn petals, Rosemary","Tea Tin, 50 gms = 34 cups",Rs. 650 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SweetChamomile_1000x.jpg?v=1597054047,,,,
38,Soothsayer's Chant Tea Blend,"Good for nervous system, Lowers cholesterol, Good for digestion, Prevents insomnia, Anti-depression, Aids skin, Stomach disorders, Promotes relaxation.","Organic German Chamomile, Lemongrass, Mint","Tea Pouch, 50 gms = 34 cups",Rs. 750 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD37_1000x.png?v=1573887685,,,,
39,Moroccan Mint              100G,1. Good for the immune system 2. Hormonal imbalances 3. Memory 4. Nausea 5. Muscle pain 6. Detoxifying the body 7. Respiratory issues 8. Bad breath 9. Weight loss.,"Spearmint, Gingermint, Peppermint","Tea Pouch, 100 gms = 100 Cups",Rs. 780 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Morrocanmint_1000x.jpg?v=1597919785,,,,
40,"Indian Peppermint Herbal Loose Leaf Tea Tin,               100G","Improves digestion, Cures bad breath, Aids weight loss, Eliminates inflammation, Balances sleep patterns.",Whole leaves Herbal Tea,100 gms | 100 cups,"Rs.1,370 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT06_cdd89411-a7fe-4c00-9438-9c262dcc8dd3_1000x.jpg?v=1581402878,,,,
41,Vibrant Hibiscus          100G,1. Rich in antioxidants 2. Packed with Vitamin C 3. Good for joints 4. Aids digestion 5. Protects liver 6. Lowers blood pressure 7. Cholesterol.,"Star Anise, Hibiscus, Cloves",100gms = 100cups,Rs. 910 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/VibrantHibiscus_1000x.jpg?v=1597054250,,,,
42,Garden Mint and Rose Tea Tin                  50g,1. Improves digestion 2. Boosts respiratory health 3. Relieves stress 4. Improves immunity 5. Aids motion sickness 6. Good for menopause.,"Mint Leaves, French Pink Rose petals",50 gms = 34 cups,Rs. 800 /  tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Gardenmontnrose_1000x.jpg?v=1597919707,,,,
43,Lemongrassy Hibiscus Tea Tin         75G,1. Good for the nervous system 2. Cholesterol control 3. Detoxification 4. Blood pressure 5. Blood-sugar levels 6. Packed with vitamin C 7. Carries anti-cancer properties 8. Aids weight loss 9. Boosts immune system.,"Hibiscus, Organic Lemongrass, Cinnamon",75 gms = 37 cups,Rs. 910 /  tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Hibiscus_1000x.jpg?v=1597919921,,,,
44,Green Tea Stick (Pack of 99 individually wrapped tea stick),"Slimming, high in anti-oxidant (anti-aging), helps overall immune system.",Whole Leaves Green Tea,1 Stick  = 2 grams,"Rs. 3,000 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Tea_Stick_2_0ed7deca-4fdd-491b-a8fe-8f793a1f57f7_1000x.jpg?v=1582618287,,,,
45,Citrusy & Spicy Nettle Remedy Tea Tin                        50g,"1. High in anti-oxidants 2.Rich in Vitamin C, 3. Promotes anti-aging 4. Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure.","Nettle leaves, Orange Peel, Cinnamon, Dry Ginger",50 gms = 25 cups,Rs. 600 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Nettle_1000x.jpg?v=1597919628,,,,
46,Three Mini Around The World Green Teas                           3 x 25g,"Controls cholesterol, Tooth decay, Good for the heart, Fights nausea, Aids weight loss, Anti-oxidant, Anti-aging, Anti-bacterial.","Chinese Yunnan Loose Leaf Tea, Indian Doors Leaf , Japanese Sencha Loose Leaf Green Teas",25g x 3 Teas,Rs.1050 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Green_Tea_Contrywise_1000x.jpg?v=1580892607,,,,
47,White Silver Needle Buds                    50g,"Packed with anti-oxidants, Boosts immunity, Weight loss, Relaxation, Aids digestion.",Whole leaves White Tea,50 gms | 50 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT01_1000x.jpg?v=1618036637,,,,
48,Men in Black Tea Blend Tea Tin     100 G,"Good for heart, Oral and bone health, Blood circulation, Removes bodys toxins, Lowers cholesterol, Aids digestion, Aids weight loss, Boosts energy.","Organic Ceylon Black Tea, Kunming Black Tea, Organic Darjeeling Black Tea",100 gms = 100 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD84_1000x.png?v=1573888679,,,,
49,Olive Branch Tea Blend Tea Tin      50 G,"Aids cardiovascular health, Brain function, Prevents nausea, Relieves motion sickness, Stomach disorders, Good for skin, Hair and detox, Prevents insomnia.","Olive leaves, Lemongrass, French Lavender leaves, Mint",50 gms = 68 cups,Rs. 375 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD46_1000x.png?v=1573887920,,,,
50,"The Floral Secret Blooming Tea, 10pcs","Marigold is also known for its healing properties.Good for eyes, Skin care, Immune system, Promotes relaxation, Relieves stress.",Lily & Marigold tied to tender loose leaf green tea leaves l,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_19_1000x.jpg?v=1615446923,,,,
