,title,health,ingredients,weight,price,image
30,Men in Black Tea Blend Tea Tin     100 G,"Good for heart, Oral and bone health, Blood circulation, Removes bodys toxins, Lowers cholesterol, Aids digestion, Aids weight loss, Boosts energy.","Organic Ceylon Black Tea, Kunming Black Tea, Organic Darjeeling Black Tea",100 gms = 100 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD84_1000x.png?v=1573888679
31,Olive Branch Tea Blend Tea Tin      100 G,"Aids cardiovascular health, Brain function, Prevents nausea, Relieves motion sickness, Stomach disorders, Good for skin, Hair and detox, Prevents insomnia.","Olive leaves, Lemongrass, French Lavender leaves, Mint",50 gms = 68 cups,Rs. 1350 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD46_1000x.png?v=1573887920
34,"The Floral Secret Blooming Tea, 10pcs","Marigold is also known for its healing properties.Good for eyes, Skin care, Immune system, Promotes relaxation, Relieves stress.",Lily & Marigold tied to tender loose leaf green tea leaves l,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_19_1000x.jpg?v=1615446923
35,Angelic Lavender Breeze Tea Tin  50G,1. Promotes relaxation 2. Prevents digestive issues 3. Detoxifies the body 4. Good for the nervous system 5. Lowers cholesterol 6. Prevents insomnia 7. Improves memory.,"Lemongrass, Rosemary, French Lavender",50gms = 34 cups,Rs. 650 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/LavenderBrezze_1000x.jpg?v=1597053307
36,The Jasmine Bouquet Blooming Tea                     10pcs,"The breathtaking fragrances and flavours of Jasmine and Lily are known for their healing and uplifting properties Aids weight loss, Packed with anti-oxidants, Promotes relaxation, Good for heart, Relieves stress.",1 lily + 8 jasmine tied to whole tea leaves,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_05_1000x.jpg?v=1615446125
39,"The Great Green Rooibos Tea, Mini Tin Sampler Pack - 25g","Packed with anti-oxidants, Aids weight loss, Promotes skin care, Improves digestion, Good for heart, Reduces hypertension, Anti-aging.","Organic Green Rooibos, Cinnamon, Kaffir Lime Leaf",25 gms | 25 Cups,Rs. 400 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC01978-01-01_1000x.jpg?v=1585733837
41,Delicious Red Rooibos Herbal Tea  200g,"Packed with anti-oxidants, Anti-aging properties, Improves cholesterol, Weight loss, Reduces hypertension.",,200 gms | 152 cups,"Rs.1,399 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT04_3_1000x.jpg?v=1630317089
45,Loved Forever                2x 25g,,"(25g Jasmine Argent Tea, 25g Organic Jasmine Black Tea, 1 Spiritual Fantasy Candle , 300ml Mug)",Tea Care Packages,"Rs. 3,300 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/6_fd893d9d-2cc3-47f0-b98f-4646639ee8f0_1000x.jpg?v=1581594562
46,Darjeeling Oolong Tea                        75G,"Helps Manage Stress,  Loose Weight, Prevent Diabetes, Improve Heart Health, Improve Brain Function, Protect Against Certain Cancers,  Promotes Tooth and Bone Strength, Lower Cholesterol",Whole leaves Oolong Tea,75 gms = 74 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT11_1000x.jpg?v=1617856663
47,Organic Jasmine White Tea                      75G,"Packed with anti-oxidants, lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.",Whole leaves Jasmine Tea,75 gms | 75 cups,"Rs.1,550 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09886_1000x.jpg?v=1633932797
48,"Taste of Darjeeling FTGFOP-1 ( Fine Tippy Golden Flowery Orange Pekoe, grade -1) First Flush- Loose Leaf Black Tea Tin          100G","Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,700 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT19_A_-2_1000x.jpg?v=1623664368
49,Goodnight Kiss Loose Leaf Tea Blend Tin              200G,"Prevents sleep disorders, Good for joints, Eases heart burn, Prevents sleep disorders, Relaxant.","Valerian Root, Star Anise, Licorice Root",200 gms | 100 cups,"Rs. 2,150 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD71_1000x.jpg?v=1581404473
50,Rosy Duet Tea Blend Pouch               150G,"Good for menopause, Promotes liver health, Carries anti-anxiety, Anti-aging properties, Improves memory, Helps fight cancer.","Bulgarian Red Rose Petals, Rosemary Leaves",150 gms | 102 cups,"Rs.1,500 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD39_1000x.jpg?v=1581149281
51,Jasmine Tea                  100G,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.",Whole leaves Jasmine Tea,100 gms | 100 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09880_1000x.jpg?v=1633932611
54,Dooars             200G,"Packed with anti-oxidants, Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure.",Whole leave green tea,200 gms | 200 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT41_16072c49-df12-4b5f-b524-25c1ae2dbd03_1000x.jpg?v=1612432871
55,Sri Lankan-Ceylon Loose Leaf Black Tea Tin                 150G,"Good for cholesterol, Cardiovascular health, Stress relief, Boosts weight loss.",Whole leaves Black Tea,150 gms | 99 cups,"Rs.1,400 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT07_1000x.jpg?v=1581403156
58,TeaTemptations   Tea Care Package   2 x 25g,,"25G Anji White Green Tea, 25G Dooars Green Tea, (300ml Double Walled Glass Tea Infuser"," 25g x 2 Teas, 1Tea infuser Care ","Rs. 2,100 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/17_c827033a-2f7a-4eed-8fbb-1a3fc7eb8e81_1000x.jpg?v=1581674597
59,Three Mini Around The World Black Teas                       3 x 25g,,"25g  Ceylon Black Tea, 25g Organic Darjeeling 2nd  Flush Black Tea, 25g Chinese Yunnan Black Tea, known as Mocha of tea",25g x 3 Teas,"Rs.1,000 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT01_08_25_A_1000x.jpg?v=1581499046
60,Bombay Spiced Chai Tea Tin                100G,1. Rich in antioxidants 2. Good for joints 3. Promotes weight loss 4. Boosts immune system 5. Good for hair 6. Clears common cold,"Star Anise, Cloves, Cardamom, Cinnamon",100 gms = 100 Cups,Rs. 910 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Bombayspicedtea_1000x.jpg?v=1609227854
61,"Infinity Pool Loose Leaf Tea Blend Tin, 150G","Reduces bad cholesterol, Good for blood pressure, Aids digestive system, Powers the immune system, Protects liver, Works as an anti-depressant, Aids weight loss, Promotes skin care.","Hibiscus, Orange Peel, Rosehip",150 gms | 75 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD57_1000x.jpg?v=1609227545
62,Three Mini Around the World Oolong Teas               3x25g,,"25g  Darjeeling Oolong Loose Leaf,  25g  Chinese Tie Guan Yin Oolong Spring- Argent Loose Leaf, 25g Classic Taiwanese Argent Loose Leaf Oolong Tea",25g x 3 Teas,"Rs.1,400 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT01_06_11_1000x.jpg?v=1580902608
63,Assamese Organic Smoky                150g,"Good for lungs, Clears chest congestion, Controls cholesterol levels, Promotes cardiovascular health, Packed with anti-oxidants.",Whole leave green tea,150 gms | 150 cups,"Rs.1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT39_7c523ca8-20dc-4423-a892-f97ea260deb5_1000x.jpg?v=1612432580
64,Sri Lankan Organic Orange Pekoe Loose Leaf Black Tea Tin             100G,"Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 66 cups,"Rs.1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT09_1000x.jpg?v=1581416346
65,Vibrant As You Gift Box                             ,,"15g Organic Red Rooibos Loose Leaf Herbal Tea, 15g Chinese Jasmine Argent Tea, 15g Tasty Irani Chai, 1pc (350 ml) Bone China Tea & Coffee Mug with Infuser & Lid",3x15g Teas,"Rs. 2,499 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box_18_1000x.jpg?v=1617893708
66,Symphony In Every Sip                                                        2 x 25g,,"25G Anji White Green Tea, 25G  Dooars Green Tea, 1 mug",Tea Care Package    2x 25g,"Rs. 2,557 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/15_a11a5964-da89-4447-8316-7d4c1045fa2c_1000x.jpg?v=1581681292
67,Nani’s(Grandma’s )Herbal Chai                    100G,1. Rich in antioxidants 2. Good for cough and cold 3. Good for joints 4. Good for nervous system 5. Prevents sleep disorders 6. Aids digestion 7. Boosts energy 8. Promotes detoxification 9. Weight loss.,"Black Ginger, Long Pepper, Clove, Star Anise, Lemongrass","Tea Tin, 100 gms = 76 Cups","Rs.1,550 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Nani_sSpecial_1000x.jpg?v=1609228651
69,Blooming Love  Tea   10 pcs,"Good for immune system, Cardiovascular health, Digestion, Cholesterol control, Packed with anti-oxidants.",Each bloom is made of 1 Gomphrena Globosa +2 Camellia tied to tender green tea leaves,10 pcs | 30 cups,"Rs.1,550 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_17_1000x.jpg?v=1615446821
70,Organic Pride of Darjeeling FTGFOP ( Fine Tippy Golden Flowery Orange Pekoe) 2nd Flush Black Loose Leaf Tea Tin                 100G,"Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health, Good for heart, Stress relief, Cholesterol control.",Whole leaves Black Tea,100 gms | 132 cups,"Rs.1,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT24_A_-2_1000x.jpg?v=1623664582
71,Sri Lankan Orange Pekoe 1 Ceylon Spring Loose Laef Black Tea Tin   150G,"Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,150 gms | 99 cups,"Rs. 1,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT12_1000x.jpg?v=1581403303
73,"Assam Phalap Pu'er Tea Jar, 100G","Aids digestion, Packed with anti-oxidants, Cancer fighter, Promotes weight loss, Lowers cholesterol, Relieves stress.","Whole tea leaves rolled, dried & microbially fermented ",100 gms | 124 cups,"Rs. 1,400 / jar",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT23_1000x.jpg?v=1581405826
74,Heritage Spice               75G,1. Promotes detoxification 2. Relieves stress 3. Fights against diabetes 4. Reduces arthritis 5. Asthma 6. Good for motion sickness 7. Menstrual discomfort 8. Aids kidney function 9. Treats stomach disorders.,"Ashwagandha, Nettles Root, Ginger","Tea Tin, 75gms = 37 cups",Rs. 780 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HeritageSpice_1000x.jpg?v=1597054028
75,Ayurveda Detox Tea Blend                          50G,"Promotes detoxification, Aids digestion, Improves immunity, Treats skin, Respiratory disorders, Lowers blood pressure, Cures menstrual disorders.","Coriander, Black Cumin, Fennel seeds","Tea Pouch, 50 gms = 25 cups",Rs. 720 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD63_1000x.png?v=1573888322
78,"Organic Darjeeling White Silver Needle buds - Platine Loose Tea Tin,     75G","Contains anti-oxidants, Regulates blood glucose, Promotes dental health, Aids digestion, Boosts immunity.",Whole leaves White Tea,75 gms | 57 cups,"Rs. 2,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT02_1000x.jpg?v=1581416170
80,"Organic Deccan, 200G","Lowers cholesterol, Rich in anti-oxidants, Strengthens immune system, Aids weight loss.",Whole leave green tea,200 gms | 132 cups,"Rs.1,180 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT40_dad3033f-2af6-4d5c-922a-07ae9f80c9c1_1000x.jpg?v=1612432748
81,"Flowering Glories Blooming Tea, 10 pcs","Trumpet Flower is known to be a symbol of gratitude. Good for digestion, Lowers cholesterol level, Improves vision, Prevents bronchitis and hypertension.",1 globeflower +2 trumpet flower petals tied to tender green tea leaves,10 pcs | 30 cups,"Rs.1,570 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_13_1000x.jpg?v=1615446550
82,"Sri Lankan Ceylon Loose Leaf Black Tea Tin, 200G","Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,200 gms | 132 cups,"Rs.1,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT11_1000x.jpg?v=1581403231
84,Gut Feeling Tea Blend                           50G,"Relieves stomach disorders, Good for skin, Balances hormones, Prevents respiratory disorders, Enhances the immune system, Purifies blood.","Indian Holy Basil (Tulsi), Bulgarian Red Rose Petals, Parsley","Tea Pouch, 50 gms = 34 cups",Rs.720 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD81_1000x.png?v=1573888644
85,"Darjeeling FTGFOP 1 (Fine Tippy Golden Flowery Orange Pekoe, Grade-1) Loose Leaf Black Tea Tin, 200G","Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,200 gms | 132 cups,"Rs.1,400 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT15_1000x.jpg?v=1623663405
87,Exotic Green Jasmine                       75G,1. Good for relaxation 2. Improves brain function 3. Dental health 4. Lowers diabetes 5. Rich in antioxidants 6. Improves cardiovascular health 7. Good for eyes.,"Jasmine Tea, Yellow Chrysanthemum petals, Chaoqing Green Tea","Tea Tin, 75 gms = 75 cups","Rs.1,180 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/ExoticGreen_1000x.jpg?v=1597930954
88,White Lemongrass Romance                   50G,1. Packed with antioxidants 2. Removes toxins 3. Good for the nervous system 4. Eyes 5. Lowers cholesterol 6. Promotes detoxification 7. Possesses anti-anxiety 8. Anti-aging properties.,"Organic White Bai Mudan leaves, Jammu Lemongrass, Yellow Chrysanthemum petals","Tea Tin, 50 gms = 50 cups","Rs.1,050 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WhiteLemongrass_1000x.jpg?v=1597920269
89,Two Mini Famous Sri Lankan Black Teas                       2 x 25g,,"25g  Sri Lankan Ceylon Black Tea, 25g  Sri Lankan Organic Orange Pekoe Ceylon Black Tea",25g x 2 Teas,Rs. 800 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT08_BT09_1000x.jpg?v=1581499582
92,All-Season Tea Blend                          100 G,"Controls hormonal imbalance, Mood swings, Aids digestion, Good for nervous system, Lowers cholesterol, Promotes detoxification, Prevents insomnia, Reduces arthritis, Fights against cancer, Fights against diabetes.","Organic Moringa, Lemongrass, Ashwagandha, Dry Ginger", 100 gms = 50 cups,"Rs. 1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD106_1000x.png?v=1573889016
93,Spice It Up               100G,1. Rich in antioxidants 2. Regulates blood sugar levels 3. Aids weight loss 4. Boosts immune system 5. Clears cough and common cold 6. Fights against cancer,"Star Anise, Cloves, Black Pepper, Cardamom, Cinnamon",100gms = 76 cups,"Rs.1,050 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Spiceitup_1000x.jpg?v=1597053361
94,The Healer Loose Tea Leaf Blend Pouch              150G,"Packed with anti-oxidants, Improves brain function, Dental health, Promotes weight loss, Good for digestion, Improves energy levels, Regulates menstrual cycle.","Chaoqing Green Tea, Star Anise",150 gms | 150 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD33_1000x.jpg?v=1609228044
95,Sweet Green Getaway                    75G,1. Packed with antioxidants 2. Improves brain function 3. Dental health 4. Lowers type 2 diabetes 5. Replenishes fever 6. Prevents respiratory disorders 7. Good for eyes 8. Is a natural stress buster.,Chaoqing Green Tea and Yellow Chrysanthemum petals,75 gms = 75 cups,Rs. 950 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SweetGreenGetaway_1000x.jpg?v=1597920441
101,"Indian Tulsi Herbal Loose Leaf Tea Tin, 100G","Helps fight acne, Controls diabetes, Balances hormones, Improves respiratory disorders, Dental health.",Whole leaves Herbal Tea,100 gms | 66 cups,"Rs.1,250 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT09_41c1f264-75aa-4be3-a2a2-a0e2b97f5cf7_1000x.jpg?v=1581402915
102,From Now To Forever,,"50G Rosemary & Bulgarian Rose Duet Tea Blend, 1 candle, 1 Mug",Gift Box,"Rs. 3,400 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box1_1_1000x.jpg?v=1611810793
103,Two Mini Mood Uplifting Jasmine Teas                       2 x 25g,,"25g Indian Organic Jasmine Black Tea with Darjeeling Black Tea, 25g  Chinese Jasmine Argent Tea",25g x 2 Teas,"Rs.1,000 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/JT06_02_1000x.jpg?v=1581505327
105,Dance Of Spices       75G,1. Rich in antioxidants 2. Prevents sleep disorders 3. Aids weight loss 4. Boosts immune system 5. Improves heart functions 6. Clears common cold,"Star Anise, Cardamom, Cinnamon", 75 gms = 37 cups,Rs. 800 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DanceOfSpice_1000x.jpg?v=1597053397
106,"Darjeeling Classic, 75G",May Help Manage Stress May Help You Loose Weight May Help Prevent Diabetes May Improve Heart Health May Improve Brain Function May Protect Against Certain Cancers Promotes Tooth and Bone Strength May Help Lower Cholesterol,Whole leaves Oolong Tea,75 gms = 100 cups,"Rs. 2,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT12-1_1000x.jpg?v=1617856752
109,"You Are My Sunshine Gift Set,   3 x 25g",,"25g Organic Jasmine Darjeeling Black Tea, 25g Jasmine Argent Tea, 25g Santa Jasmine Tea",25g x 3 Teas,"Rs.1,700 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC01983-01_1000x.jpg?v=1585738324
110,Three Mini White Silver Needle Bud Teas                       3 x 15g,,"15g Darjeeling Platine, 15g Fujian Small Bud, 15g Fujian Big Bud",15g x 3 Teas,"Rs.1,850 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT02_08_A_08_B_1000x.jpg?v=1581498554
111,Girl's Best Friend Tea Blend          100G,"Improves memory, Liver health, Nervous system, Promotes detoxification, Prevents insomnia, Good for skin, Menopause, Digestion.","French Pink Rose petals , Lemongrass, Rosemary leaves,",50 gms = 34 cups,Rs. 750 / pouch,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD36_1000x.png?v=1573887657
112,The Rooibos Moringa Chamomile Tea Blend                          200G,"Controls hormonal imbalance, Mood swing, Aids digestion, Relieves stress, Fights depression, Menstrual spasms, Anti-aging, Improves heart health.","Organic Rooibos, Organic Moringa leaves, Dry Chamomile flower",200 gms | 200 cups,Rs.1300 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD108_2_1000x.jpg?v=1630316784
119,Secret Spice                 100G,1.Good for motion sickness 2. Asthma 3. Menstrual discomfort 4. Relieves stress 5. Good for joints 6. Prevents sleep disorders,"Ashwagandha, Ginger, Star Anise",100gms = 50 cups,Rs. 950 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SecertSpice_1000x.jpg?v=1597053609
120,Black Rose Love          75G,"1. Good for cardiovascular 2. Oral, bone and skin health 3. Anti-aging 4. Blood circulation 5. Menopause 6. Liver health 7. Carries anti-anxiety properties.","Organic Golden Needle buds, French Pink Rose buds",75 gms | 99 cups,"Rs. 2,000 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BlackRoseLove_1000x.jpg?v=1597054161
121,Love at First Sight Loose Leaf Tea Blend Tin             75 G,"Good relaxant, Carries anti-oxidants, Anti-stress, Anti-aging properties, Controls diabetes, Promotes weight loss, Prevents digestive issues, Sleep disorders, Detoxifies body.","Organic White Silver Needle buds, French Lavender buds",75 gms | 99 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD17_1000x.jpg?v=1581404088
